Gene_Symbol	type	file
AXL	Kinase, Oncogene	Kincat_Hsap.08.02.txt, allOnco_Feb2017.tsv, PfamKinase
AZGP1	TumorSuppressorGene	TumorSuppressorGene.txt
AlphaK1	Kinase	Kincat_Hsap.08.02.txt
AlphaK2	Kinase	Kincat_Hsap.08.02.txt
AlphaK3	Kinase	Kincat_Hsap.08.02.txt
AurA	Kinase	Kincat_Hsap.08.02.txt
AurAps1	Kinase	Kincat_Hsap.08.02.txt
AurAps2	Kinase	Kincat_Hsap.08.02.txt
AurB	Kinase	Kincat_Hsap.08.02.txt
AurBps1	Kinase	Kincat_Hsap.08.02.txt
AurC	Kinase	Kincat_Hsap.08.02.txt
B2M	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
B3GNT6	Oncogene	allOnco_Feb2017.tsv
B4GALT5	Oncogene	allOnco_Feb2017.tsv
B4GAT1	Oncogene	allOnco_Feb2017.tsv
BAALC	Oncogene	allOnco_Feb2017.tsv
BABAM2	Oncogene	allOnco_Feb2017.tsv
BACH1	TranscriptionFactor	addTF_JL.tsv
BACH2	Oncogene, TranscriptionFactor	allOnco_Feb2017.tsv, addTF_JL.tsv
BAD	Oncogene	allOnco_Feb2017.tsv
BAG1	Oncogene	allOnco_Feb2017.tsv
BAG3	Oncogene	allOnco_Feb2017.tsv
BAK1	Oncogene	allOnco_Feb2017.tsv
BANP	TumorSuppressorGene	TumorSuppressorGene.txt
BAP1	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BARD1	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BARHL1	TranscriptionFactor	addTF_JL.tsv
BARHL2	TranscriptionFactor	addTF_JL.tsv
BARK1	Kinase	Kincat_Hsap.08.02.txt
BARK2	Kinase	Kincat_Hsap.08.02.txt
BARX1	TranscriptionFactor	addTF_JL.tsv
BARX2	TranscriptionFactor	addTF_JL.tsv
BASP1	TumorSuppressorGene	TumorSuppressorGene.txt
BATF	Oncogene, TranscriptionFactor	allOnco_Feb2017.tsv, addTF_JL.tsv
BATF2	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv
BATF3	TranscriptionFactor	addTF_JL.tsv
BAX	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BAZ1A	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
BAZ2A	TranscriptionFactor	addTF_JL.tsv
BAZ2B	TranscriptionFactor	addTF_JL.tsv
BBC3	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
BBX	TranscriptionFactor	addTF_JL.tsv
BCAS3	Oncogene	allOnco_Feb2017.tsv
BCAS4	Oncogene	allOnco_Feb2017.tsv
BCKDK	Kinase	Kincat_Hsap.08.02.txt
BCL10	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BCL11A	CosmicCensus, Oncogene, TranscriptionFactor	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, addTF_JL.tsv
BCL11B	CosmicCensus, Oncogene, TranscriptionFactor	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, addTF_JL.tsv
BCL2	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BCL2A1	Oncogene	allOnco_Feb2017.tsv
BCL2L1	Oncogene	allOnco_Feb2017.tsv
BCL2L11	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
