Kids_First_Biospecimen_ID	sample_id	tp53_score	tp53_shuffle
C3L-03387	C3L-03387	0.5065468254797838	0.3825506179092571
C3N-02770	C3N-02770	0.251800925286551	0.40118784816173536
C3L-02504	C3L-02504	0.5881251013698564	0.6775490536575868
C3L-03727	C3L-03727	0.5479042153518573	0.27175488910338624
C3N-01815	C3N-01815	0.5916542340712765	0.6316585190572064
C3N-01518	C3N-01518	0.5957843050410228	0.6726565570527601
C3L-01045	C3L-01045	0.4405496444391664	0.4430100230059442
C3N-01515	C3N-01515	0.4084136159973555	0.5335889402803706
C3L-01327	C3L-01327	0.4802223113711901	0.7084160344580052
C3N-01367	C3N-01367	0.2593066730458119	0.6196262367585154
C3N-01505	C3N-01505	0.2373681984463937	0.41153939958024305
C3L-03260	C3L-03260	0.6672266160129838	0.7856878178871228
C3L-03744	C3L-03744	0.3529060024149912	0.2981515971921322
C3L-02955	C3L-02955	0.3220096182022214	0.8151697823321614
C3L-01040	C3L-01040	0.285607642840134	0.3987144568141114
C3L-02642	C3L-02642	0.79737724873533955	0.5436139726194625
C3N-00662	C3N-00662	0.443122444537369	0.5034898894678235
C3L-03728	C3L-03728	0.40786232190172983	0.27601436255657935
