gene	variable	chisq_test_pval	signif
CDKN2C	Age_Two_Groups	0.982129012102261	FALSE
CDKN2A	Age_Two_Groups	0.983906510071477	FALSE
PLAGL2	Age_Two_Groups	0.983906510071477	FALSE
POLE3	Age_Three_Groups	0.989822930582155	FALSE
H2BC6	Age_Three_Groups	0.993655048696846	FALSE
H3C2	Age_Three_Groups	0.993655048696846	FALSE
H3C3	Age_Three_Groups	0.993655048696846	FALSE
PIK3R1	Age_Three_Groups	0.993655048696846	FALSE
ALK	Sex	0.996509403682394	FALSE
VEGFA	Sex	0.996509403682394	FALSE
FBXW7	Sex	0.999999999999998	FALSE
RAD54L	Sex	0.999999999999998	FALSE
XRCC2	Sex	0.999999999999998	FALSE
CDKN2C	Sex	0.999999999999999	FALSE
FOSB	Sex	0.999999999999999	FALSE
ID2	Sex	0.999999999999999	FALSE
MYCN	Sex	0.999999999999999	FALSE
RFC4	Age_Two_Groups	0.999999999999999	FALSE
CCND2	Age_Two_Groups	0.999999999999999	FALSE
CDK6	Age_Two_Groups	0.999999999999999	FALSE
RFC4	Sex	0.999999999999999	FALSE
FGFR2	Sex	0.999999999999999	FALSE
MDM2	Sex	0.999999999999999	FALSE
SEM1	Sex	0.999999999999999	FALSE
SLCO1B3	Age_Two_Groups	0.999999999999999	FALSE
ATRX	Sex	0.999999999999999	FALSE
BCOR	Age_Two_Groups	0.999999999999999	FALSE
DIS3L2P1	Sex	0.999999999999999	FALSE
FYN	Sex	0.999999999999999	FALSE
H2BC6	Age_Two_Groups	0.999999999999999	FALSE
H3C2	Age_Two_Groups	0.999999999999999	FALSE
H3C3	Age_Two_Groups	0.999999999999999	FALSE
MDM2	Age_Two_Groups	0.999999999999999	FALSE
MLH1	Age_Two_Groups	0.999999999999999	FALSE
OGG1	Age_Two_Groups	0.999999999999999	FALSE
PIK3R1	Age_Two_Groups	0.999999999999999	FALSE
RPA1	Sex	0.999999999999999	FALSE
RPA4	Age_Two_Groups	0.999999999999999	FALSE
APEX2	Age_Two_Groups	1	FALSE
DDX11	Age_Two_Groups	1	FALSE
H3-3A	Sex	1	FALSE
NBN	Age_Two_Groups	1	FALSE
NEIL3	Age_Two_Groups	1	FALSE
PDGFA	Sex	1	FALSE
POLE2	Sex	1	FALSE
RPA2	Sex	1	FALSE
RPA4	Sex	1	FALSE
TDRD9	Sex	1	FALSE
UNG	Age_Two_Groups	1	FALSE
ARID1A	Age_Two_Groups	1	FALSE
RAD51B	Age_Two_Groups	1	FALSE
ID3	Age_Two_Groups	1	FALSE
APEX2	Sex	1	FALSE
ATRX	Age_Two_Groups	1	FALSE
BCOR	Sex	1	FALSE
CCND2	Sex	1	FALSE
CDK4	Age_Two_Groups	1	FALSE
CDKN1C	Sex	1	FALSE
KDM6B	Sex	1	FALSE
MSH3	Age_Two_Groups	1	FALSE
PMS2	Age_Two_Groups	1	FALSE
POLD2	Sex	1	FALSE
POLE3	Age_Two_Groups	1	FALSE
POLE4	Sex	1	FALSE
RAD52	Age_Two_Groups	1	FALSE
RAD54B	Age_Two_Groups	1	FALSE
XRCC3	Age_Two_Groups	1	FALSE
