ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
SEPTIN8	SEPTIN8	SEPT8	TRUE	NP_001092281.1;NP_001092282.1	NP_001092281.1;NP_001287727.1
SEPTIN9	SEPTIN9	SEPT9	TRUE	NP_001106965.1	NP_001106965.1;NP_001106963.1
SERAC1	SERAC1	SERAC1	TRUE	NP_116250.3	NP_116250.3
SERBP1	SERBP1	SERBP1	TRUE	NP_001018077.1;NP_001018079.1	NP_001018079.1;NP_001018077.1
SERF2	SERF2	SERF2	TRUE	NP_001018118.1	NP_001018118.1
SERGEF	SERGEF	SERGEF	TRUE	NP_036271.1	NP_036271.1
SERINC1	SERINC1	SERINC1	TRUE	NP_065806.1	NP_065806.1
SERINC3	SERINC3	SERINC3	TRUE	NP_006802.1	NP_006802.1
SERINC5	SERINC5	SERINC5	TRUE	NP_001167542.1	NP_001167542.1
SERPINA1	SERPINA1	SERPINA1	TRUE	NP_000286.3	NP_000286.3
SERPINA10	SERPINA10	SERPINA10	TRUE	NP_001094077.1	NP_001094077.1
SERPINA3	SERPINA3	SERPINA3	TRUE	NP_001076.2	NP_001076.2
SERPINA4	SERPINA4	SERPINA4	TRUE	NP_001275961.1	NP_001275961.1
SERPINA5	SERPINA5	SERPINA5	TRUE	NP_000615.3	NP_000615.3
SERPINA6	SERPINA6	SERPINA6	TRUE	NP_001747.2	NP_001747.2
SERPINA7	SERPINA7	SERPINA7	TRUE	NP_000345.2	NP_000345.2
SERPINB1	SERPINB1	SERPINB1	TRUE	NP_109591.1	NP_109591.1
SERPINB10	SERPINB10	SERPINB10	TRUE	NP_005015.1	NP_005015.1
SERPINB2	SERPINB2	SERPINB2	TRUE	NP_001137290.1	NP_001137290.1
SERPINB6	SERPINB6	SERPINB6	TRUE	NP_001258751.1	NP_001258751.1
SERPINB7	SERPINB7	SERPINB7	TRUE	NP_001035237.1	NP_001035237.1
SERPINB8	SERPINB8	SERPINB8	TRUE	NP_002631.3	NP_002631.3
SERPINB9	SERPINB9	SERPINB9	TRUE	NP_004146.1	NP_004146.1
SERPINC1	SERPINC1	SERPINC1	TRUE	NP_000479.1	NP_000479.1
SERPIND1	SERPIND1	SERPIND1	TRUE	NP_000176.2	NP_000176.2
SERPINE1	SERPINE1	SERPINE1	TRUE	NP_000593.1	NP_000593.1
SERPINE2	SERPINE2	SERPINE2	TRUE	NP_006207.1	NP_006207.1
SERPINF1	SERPINF1	SERPINF1	TRUE	NP_001316832.1	NP_001316832.1
SERPINF2	SERPINF2	SERPINF2	TRUE	NP_000925.2	NP_000925.2
SERPING1	SERPING1	SERPING1	TRUE	NP_000053.2	NP_000053.2
SERPINH1	SERPINH1	SERPINH1	TRUE	NP_001193943.1	NP_001193943.1
SERPINI1	SERPINI1	SERPINI1	TRUE	NP_001116224.1	NP_001116224.1
SESN1	SESN1	SESN1	TRUE	NP_055269.1	NP_055269.1
SESN2	SESN2	SESN2	TRUE	NP_113647.1	NP_113647.1
SESN3	SESN3	SESN3	TRUE	NP_653266.2	NP_653266.2
SESTD1	SESTD1	SESTD1	TRUE	NP_835224.3	NP_835224.3
SET	SET	SET	TRUE	NP_003002.2;NP_001234930.1;NP_001116293.1	NP_003002.2;NP_001234930.1;NP_001116293.1
SETD1A	SETD1A	SETD1A	TRUE	NP_055527.1	NP_055527.1
SETD1B	SETD1B	SETD1B	TRUE	NP_001340274.1	NP_001340274.1
SETD2	SETD2	SETD2	TRUE	NP_001336299.1	NP_054878.5
SETD3	SETD3	SETD3	TRUE	NP_115609.2	NP_115609.2
SETD5	SETD5	SETD5	TRUE	NP_001073986.1	NP_001073986.1
SETD7	SETD7	SETD7	TRUE	NP_085151.1	NP_085151.1
SETDB1	SETDB1	SETDB1	TRUE	NP_001138887.1	NP_001138887.1
SETMAR	SETMAR	SETMAR	TRUE	NP_006506.3	NP_006506.3;NP_001307607.1
SETX	SETX	SETX	TRUE	NP_001338456.1	NP_001338456.1
SEZ6	SEZ6	SEZ6	TRUE	NP_001092105.1	NP_001092105.1
SEZ6L	SEZ6L	SEZ6L	TRUE	NP_001171702.1	NP_001171702.1
SEZ6L2	SEZ6L2	SEZ6L2	TRUE	NP_001230261.1	NP_001230261.1
SF1	SF1	SF1	TRUE	NP_001333292.1;NP_001171501.1;NP_001333293.1	NP_001333292.1;NP_001171501.1;NP_001333293.1
SF3A1	SF3A1	SF3A1	TRUE	NP_005868.1	NP_005868.1
SF3A2	SF3A2	SF3A2	TRUE	NP_009096.2	NP_009096.2
SF3A3	SF3A3	SF3A3	TRUE	NP_006793.1	NP_006793.1
SF3B1	SF3B1	SF3B1	TRUE	NP_036565.2	NP_036565.2
SF3B2	SF3B2	SF3B2	TRUE	NP_006833.2	NP_006833.2
SF3B3	SF3B3	SF3B3	TRUE	NP_036558.3	NP_036558.3
SF3B4	SF3B4	SF3B4	TRUE	NP_005841.1	NP_005841.1
SF3B5	SF3B5	SF3B5	TRUE	NP_112577.1	NP_112577.1
SF3B6	SF3B6	SF3B6	TRUE	NP_057131.1	NP_057131.1
SFI1	SFI1	SFI1	TRUE	NP_001007468.1	NP_001007468.1
SFN	SFN	SFN	TRUE	NP_006133.1	NP_006133.1
SFPQ	SFPQ	SFPQ	TRUE	NP_005057.1	NP_005057.1
SFRP1	SFRP1	SFRP1	TRUE	NP_003003.3	NP_003003.3
SFRP2	SFRP2	SFRP2	TRUE	NP_003004.1	NP_003004.1
SFRP4	SFRP4	SFRP4	TRUE	NP_003005.2	NP_003005.2
SFSWAP	SFSWAP	SFSWAP	TRUE	NP_001248340.1	NP_001248340.1
SFT2D2	SFT2D2	SFT2D2	TRUE	NP_955376.1	NP_955376.1
SFT2D3	SFT2D3	SFT2D3	TRUE	NP_116129.3	NP_116129.3
SFXN1	SFXN1	SFXN1	TRUE	NP_001309906.1	NP_001309906.1
SFXN2	SFXN2	SFXN2	TRUE	NP_001337918.1	NP_001337918.1
SFXN3	SFXN3	SFXN3	TRUE	NP_112233.2	NP_112233.2
SFXN4	SFXN4	SFXN4	TRUE	NP_998814.1	NP_998814.1
SFXN5	SFXN5	SFXN5	TRUE	NP_001317329.1	NP_001317329.1
SGCB	SGCB	SGCB	TRUE	NP_000223.1	NP_000223.1
SGCD	SGCD	SGCD	TRUE	NP_000328.2	NP_000328.2
SGCE	SGCE	SGCE	TRUE	NP_001092870.1	NP_001092871.1
SGF29	SGF29	SGF29	TRUE	NP_612423.1	NP_612423.1
SGIP1	SGIP1	SGIP1	TRUE	NP_115667.2;NP_001295132.1	NP_115667.2;NP_001295132.1
SGK2	SGK2	SGK2	TRUE	NA	NP_001186193.1
SGK3	SGK3	SGK3	TRUE	NP_001028750.1	NP_001028750.1
SGPL1	SGPL1	SGPL1	TRUE	NP_003892.2	NP_003892.2
SGPP1	SGPP1	SGPP1	TRUE	NP_110418.1	NP_110418.1
SGSH	SGSH	SGSH	TRUE	NP_000190.1	NP_000190.1
SGSM1	SGSM1	SGSM1	TRUE	NP_001035037.1	NP_001035037.1
SGSM2	SGSM2	SGSM2	TRUE	NP_001091979.1	NP_001091979.1
SGSM3	SGSM3	SGSM3	TRUE	NP_001336968.1	NP_001288778.1
SGTA	SGTA	SGTA	TRUE	NP_003012.1	NP_003012.1
SGTB	SGTB	SGTB	TRUE	NP_061945.1	NP_061945.1
SH2B1	SH2B1	SH2B1	TRUE	NP_001139267.1	NP_001139268.1
SH2B2	SH2B2	SH2B2	TRUE	NP_001346157.1	NP_001346157.1
SH2D3C	SH2D3C	SH2D3C	TRUE	NP_001136005.1	NP_733745.1
SH2D4A	SH2D4A	SH2D4A	TRUE	NP_001167630.1	NP_001167630.1
SH2D5	SH2D5	SH2D5	TRUE	NP_001096631.1	NP_001096631.1
SH3BGRL	SH3BGRL	SH3BGRL	TRUE	NP_003013.1	NP_003013.1
SH3BGRL2	SH3BGRL2	SH3BGRL2	TRUE	NP_113657.1	NP_113657.1
SH3BGRL3	SH3BGRL3	SH3BGRL3	TRUE	NP_112576.1	NP_112576.1
SH3BP1	SH3BP1	SH3BP1	TRUE	NP_061830.3	NP_061830.3
SH3BP2	SH3BP2	SH3BP2	TRUE	NP_001139327.1	NP_001139327.1
SH3BP4	SH3BP4	SH3BP4	TRUE	NP_055336.1	NP_055336.1
SH3BP5L	SH3BP5L	SH3BP5L	TRUE	NP_085148.1	NP_085148.1
SH3D19	SH3D19	SH3D19	TRUE	NP_001009555.3	NP_001009555.3
SH3GL1	SH3GL1	SH3GL1	TRUE	NP_003016.1	NP_003016.1
SH3GL2	SH3GL2	SH3GL2	TRUE	NP_003017.1	NP_003017.1
SH3GL3	SH3GL3	SH3GL3	TRUE	NP_003018.3	NP_003018.3
SH3GLB1	SH3GLB1	SH3GLB1	TRUE	NP_057093.1	NP_057093.1;NP_001193581.1
SH3GLB2	SH3GLB2	SH3GLB2	TRUE	NP_001273974.1;NP_001273975.1	NP_001273974.1;NP_001273975.1
SH3KBP1	SH3KBP1	SH3KBP1	TRUE	NP_001340820.1;NP_001340821.1;NP_001019837.1	NP_114098.1;NP_001340826.1;NP_001019837.1
SH3PXD2A	SH3PXD2A	SH3PXD2A	TRUE	NP_055446.2	NP_055446.2
SH3PXD2B	SH3PXD2B	SH3PXD2B	TRUE	NP_001017995.1	NP_001017995.1
SH3RF1	SH3RF1	SH3RF1	TRUE	NP_065921.2	NP_065921.2
SH3RF3	SH3RF3	SH3RF3	TRUE	NP_001092759.1	NP_001092759.1
SH3TC1	SH3TC1	SH3TC1	TRUE	NA	NP_061859.3
SHANK1	SHANK1	SHANK1	TRUE	NP_057232.2	NP_057232.2
SHANK2	SHANK2	SHANK2	TRUE	NP_036441.2;NP_573573.2	NP_036441.2;NP_573573.2
SHANK3	SHANK3	SHANK3	TRUE	NP_277052.1	NP_277052.1
SHARPIN	SHARPIN	SHARPIN	TRUE	NP_112236.3	NP_112236.3
SHB	SHB	SHB	TRUE	NP_003019.2	NP_003019.2
SHBG	SHBG	SHBG	TRUE	NP_001031.2	NP_001031.2
SHC1	SHC1	SHC1	TRUE	NP_001123512.1	NP_001123512.1
SHC2	SHC2	SHC2	TRUE	NP_036567.2	NP_036567.2
SHC3	SHC3	SHC3	TRUE	NP_058544.3	NP_058544.3
SHC4	SHC4	SHC4	TRUE	NP_976224.3	NP_976224.3
SHCBP1	SHCBP1	SHCBP1	TRUE	NP_001311247.1	NP_079021.3
SHD	SHD	SHD	TRUE	NP_064594.3	NP_064594.3
SHF	SHF	SHF	TRUE	NP_001288098.1	NP_612365.2;NP_001288098.1
SHISA4	SHISA4	SHISA4	TRUE	NP_937792.2	NP_937792.2
SHISA5	SHISA5	SHISA5	TRUE	NP_001258995.1	NP_001258995.1
SHISA6	SHISA6	SHISA6	TRUE	NP_001166933.1	NP_001166933.1
SHISA7	SHISA7	SHISA7	TRUE	NP_001138648.1	NP_001138648.1
SHISA9	SHISA9	SHISA9	TRUE	NP_001138676.2	NP_001138676.2
SHKBP1	SHKBP1	SHKBP1	TRUE	NP_612401.2	NP_612401.2
SHMT1	SHMT1	SHMT1	TRUE	NP_683718.1	NP_004160.3
SHMT2	SHMT2	SHMT2	TRUE	NP_001159829.1	NP_001159829.1
SHOC2	SHOC2	SHOC2	TRUE	NP_001311265.1	NP_001311265.1
SHPK	SHPK	SHPK	TRUE	NP_037408.2	NP_037408.2
SHPRH	SHPRH	SHPRH	TRUE	NP_001036148.2	NP_001036148.2
SHROOM1	SHROOM1	SHROOM1	TRUE	NP_001166171.1	NP_001166171.1
SHROOM2	SHROOM2	SHROOM2	TRUE	NP_001640.1	NP_001640.1
SHROOM3	SHROOM3	SHROOM3	TRUE	NP_065910.3	NP_065910.3
SHROOM4	SHROOM4	SHROOM4	TRUE	NP_065768.2	NP_065768.2
SHTN1	SHTN1	SHTN1	TRUE	NP_001120683.1	NP_001120683.1
SIAE	SIAE	SIAE	TRUE	NP_733746.1	NP_733746.1
SIAH1	SIAH1	SIAH1	TRUE	NP_001006611.1	NP_001006611.1
SIDT2	SIDT2	SIDT2	TRUE	NP_001035545.1	NP_001035545.1
SIGLEC1	SIGLEC1	SIGLEC1	TRUE	NP_075556.1	NP_075556.1
SIGLEC10	SIGLEC10	SIGLEC10	TRUE	NP_001164627.1	NP_001164627.1
SIGLEC7	SIGLEC7	SIGLEC7	TRUE	NA	NP_055200.1
SIGLEC8	SIGLEC8	SIGLEC8	TRUE	NA	NP_055257.2
SIGLEC9	SIGLEC9	SIGLEC9	TRUE	NP_001185487.1	NP_055256.1
SIGMAR1	SIGMAR1	SIGMAR1	TRUE	NP_005857.1	NP_005857.1
SIK2	SIK2	SIK2	TRUE	NP_056006.1	NP_056006.1
SIK3	SIK3	SIK3	TRUE	NP_079440.3	NP_079440.3;NP_001268678.1
SIKE1	SIKE1	SIKE1	TRUE	NP_079349.2	NP_079349.2
SIL1	SIL1	SIL1	TRUE	NP_001032722.1	NP_001032722.1
SIN3A	SIN3A	SIN3A	TRUE	NP_001138829.1	NP_001138829.1
SIN3B	SIN3B	SIN3B	TRUE	NP_001284524.1	NP_001284524.1
SIPA1	SIPA1	SIPA1	TRUE	NP_006738.3	NP_006738.3
SIPA1L1	SIPA1L1	SIPA1L1	TRUE	NP_001271174.1	NP_001271174.1;NP_001271176.1
SIPA1L2	SIPA1L2	SIPA1L2	TRUE	NP_065859.3	NP_065859.3
SIPA1L3	SIPA1L3	SIPA1L3	TRUE	NP_055888.1	NP_055888.1
SIRPA	SIRPA	SIRPA	TRUE	NP_001035111.1;NP_001317657.1	NP_001035111.1;NP_001317657.1
SIRPB1	SIRPB1	SIRPB1	TRUE	NP_006056.2	NP_006056.2;NP_001129316.1
SIRT1	SIRT1	SIRT1	TRUE	NP_036370.2	NP_036370.2
SIRT2	SIRT2	SIRT2	TRUE	NP_036369.2	NP_036369.2
SIRT3	SIRT3	SIRT3	TRUE	NP_036371.1	NP_036371.1
SIRT5	SIRT5	SIRT5	TRUE	NP_036373.1	NP_036373.1
SIRT6	SIRT6	SIRT6	TRUE	NP_001180214.1	NP_057623.2
SIVA1	SIVA1	SIVA1	TRUE	NP_006418.2	NP_006418.2
SKA1	SKA1	SKA1	TRUE	NA	NP_001034624.1
SKA2	SKA2	SKA2	TRUE	NP_001317328.1	NP_872426.1
SKA3	SKA3	SKA3	TRUE	NA	NP_001159489.1
SKAP2	SKAP2	SKAP2	TRUE	NP_003921.2	NP_003921.2
SKI	SKI	SKI	TRUE	NP_003027.1	NP_003027.1
SKIV2L	SKIV2L	SKIV2L	TRUE	NP_008860.4	NP_008860.4
SKP1	SKP1	SKP1	TRUE	NP_733779.1	NP_733779.1
SLAIN1	SLAIN1	SLAIN1	TRUE	NP_001035243.2	NP_001229797.1
SLAIN2	SLAIN2	SLAIN2	TRUE	NP_065897.1	NP_065897.1
SLBP	SLBP	SLBP	TRUE	NP_006518.1	NP_006518.1
SLC10A4	SLC10A4	SLC10A4	TRUE	NP_689892.1	NP_689892.1
SLC11A2	SLC11A2	SLC11A2	TRUE	NA	NP_000608.1
SLC12A2	SLC12A2	SLC12A2	TRUE	NP_001037.1	NP_001037.1
SLC12A4	SLC12A4	SLC12A4	TRUE	NP_001139433.1	NP_005063.1
SLC12A5	SLC12A5	SLC12A5	TRUE	NP_001128243.1;NP_065759.1	NP_001128243.1;NP_065759.1
SLC12A6	SLC12A6	SLC12A6	TRUE	NP_001035961.1	NP_001035962.1
SLC12A7	SLC12A7	SLC12A7	TRUE	NP_006589.2	NP_006589.2
SLC12A9	SLC12A9	SLC12A9	TRUE	NP_001350422.1	NP_001350422.1
SLC13A5	SLC13A5	SLC13A5	TRUE	NP_001137310.1	NP_001137310.1
SLC14A1	SLC14A1	SLC14A1	TRUE	NP_001139508.2	NP_001122060.3
SLC15A2	SLC15A2	SLC15A2	TRUE	NP_001139470.1	NP_001139470.1
SLC15A4	SLC15A4	SLC15A4	TRUE	NP_663623.1	NP_663623.1
SLC16A1	SLC16A1	SLC16A1	TRUE	NP_001159968.1	NP_001159968.1
SLC16A2	SLC16A2	SLC16A2	TRUE	NP_006508.2	NP_006508.2
SLC16A3	SLC16A3	SLC16A3	TRUE	NP_001035887.1	NP_001035887.1
SLC16A4	SLC16A4	SLC16A4	TRUE	NP_001188475.1	NP_001188475.1
SLC16A7	SLC16A7	SLC16A7	TRUE	NP_001257551.1	NP_001257551.1
SLC17A5	SLC17A5	SLC17A5	TRUE	NP_036566.1	NP_036566.1
SLC17A6	SLC17A6	SLC17A6	TRUE	NP_065079.1	NP_065079.1
SLC17A7	SLC17A7	SLC17A7	TRUE	NP_064705.1	NP_064705.1
SLC19A1	SLC19A1	SLC19A1	TRUE	NP_001192136.1	NP_001339441.1
SLC1A1	SLC1A1	SLC1A1	TRUE	NP_004161.4	NP_004161.4
SLC1A2	SLC1A2	SLC1A2	TRUE	NP_004162.2	NP_004162.2
SLC1A3	SLC1A3	SLC1A3	TRUE	NP_001160167.1	NP_001160167.1
SLC1A4	SLC1A4	SLC1A4	TRUE	NP_003029.2	NP_003029.2
SLC1A5	SLC1A5	SLC1A5	TRUE	NP_005619.1	NP_005619.1
SLC20A1	SLC20A1	SLC20A1	TRUE	NP_005406.3	NP_005406.3
SLC20A2	SLC20A2	SLC20A2	TRUE	NP_001244109.1	NP_001244109.1
SLC22A17	SLC22A17	SLC22A17	TRUE	NP_057693.3	NP_057693.3
SLC22A18	SLC22A18	SLC22A18	TRUE	NP_001302430.1	NP_001302430.1
SLC22A23	SLC22A23	SLC22A23	TRUE	NP_056297.1	NP_056297.1
SLC22A4	SLC22A4	SLC22A4	TRUE	NP_003050.2	NP_003050.2
SLC22A5	SLC22A5	SLC22A5	TRUE	NP_001295051.1	NP_001295051.1
SLC23A2	SLC23A2	SLC23A2	TRUE	NP_005107.4	NP_005107.4
SLC24A2	SLC24A2	SLC24A2	TRUE	NP_001180217.1;NP_065077.1	NP_001180217.1;NP_065077.1
SLC24A3	SLC24A3	SLC24A3	TRUE	NP_065740.2	NP_065740.2
SLC25A1	SLC25A1	SLC25A1	TRUE	NP_005975.1	NP_005975.1
SLC25A10	SLC25A10	SLC25A10	TRUE	NP_001257817.1;NP_001257882.1	NP_001257817.1
SLC25A11	SLC25A11	SLC25A11	TRUE	NP_003553.2	NP_003553.2
SLC25A12	SLC25A12	SLC25A12	TRUE	NP_003696.2	NP_003696.2
SLC25A13	SLC25A13	SLC25A13	TRUE	NP_001153682.1	NP_001153682.1
SLC25A14	SLC25A14	SLC25A14	TRUE	NP_001269124.1	NP_001269124.1
SLC25A15	SLC25A15	SLC25A15	TRUE	NP_055067.1	NP_055067.1
SLC25A16	SLC25A16	SLC25A16	TRUE	NP_001311241.1	NP_001311241.1
SLC25A17	SLC25A17	SLC25A17	TRUE	NP_001269655.1	NP_001269655.1
SLC25A18	SLC25A18	SLC25A18	TRUE	NP_001290413.1	NP_001290413.1
SLC25A19	SLC25A19	SLC25A19	TRUE	NP_001119593.1	NP_001119593.1
SLC25A20	SLC25A20	SLC25A20	TRUE	NP_000378.1	NP_000378.1
SLC25A22	SLC25A22	SLC25A22	TRUE	NP_001177989.1	NP_001177989.1
SLC25A23	SLC25A23	SLC25A23	TRUE	NP_077008.2	NP_077008.2
SLC25A24	SLC25A24	SLC25A24	TRUE	NP_037518.3	NP_037518.3
SLC25A25	SLC25A25	SLC25A25	TRUE	NP_001006643.1	NP_001252543.1
SLC25A26	SLC25A26	SLC25A26	TRUE	NP_001158268.1	NP_001337920.1
SLC25A27	SLC25A27	SLC25A27	TRUE	NP_001190980.1	NP_001190980.1
SLC25A29	SLC25A29	SLC25A29	TRUE	NP_001034444.1	NP_001034444.1
SLC25A3	SLC25A3	SLC25A3	TRUE	NP_002626.1	NP_002626.1
SLC25A32	SLC25A32	SLC25A32	TRUE	NP_110407.2	NP_110407.2
SLC25A33	SLC25A33	SLC25A33	TRUE	NA	NP_115691.1
SLC25A36	SLC25A36	SLC25A36	TRUE	NP_001098117.1	NP_001098117.1
SLC25A4	SLC25A4	SLC25A4	TRUE	NP_001142.2	NP_001142.2
SLC25A40	SLC25A40	SLC25A40	TRUE	NP_061331.2	NP_061331.2
SLC25A42	SLC25A42	SLC25A42	TRUE	NP_001308473.1	NP_001308473.1
SLC25A44	SLC25A44	SLC25A44	TRUE	NP_001273113.1	NP_001273113.1
SLC25A46	SLC25A46	SLC25A46	TRUE	NP_620128.1	NP_620128.1
SLC25A5	SLC25A5	SLC25A5	TRUE	NP_001143.2	NP_001143.2
SLC25A51	SLC25A51	SLC25A51	TRUE	NP_219480.1	NP_219480.1
SLC25A53	SLC25A53	SLC25A53	TRUE	NP_001012773.2	NP_001012773.2
SLC25A6	SLC25A6	SLC25A6	TRUE	NP_001627.2	NP_001627.2
SLC26A2	SLC26A2	SLC26A2	TRUE	NP_000103.2	NP_000103.2
SLC26A6	SLC26A6	SLC26A6	TRUE	NP_001268661.1	NP_001268662.1
SLC27A1	SLC27A1	SLC27A1	TRUE	NP_940982.1	NP_940982.1
SLC27A2	SLC27A2	SLC27A2	TRUE	NP_003636.2	NP_003636.2
SLC27A3	SLC27A3	SLC27A3	TRUE	NP_077306.3	NP_077306.3
SLC27A4	SLC27A4	SLC27A4	TRUE	NP_005085.2	NP_005085.2
SLC29A1	SLC29A1	SLC29A1	TRUE	NP_001291391.1	NP_001291395.1
SLC29A3	SLC29A3	SLC29A3	TRUE	NA	NP_060814.4
SLC2A1	SLC2A1	SLC2A1	TRUE	NP_006507.2	NP_006507.2
SLC2A13	SLC2A13	SLC2A13	TRUE	NP_443117.3	NP_443117.3
SLC2A3	SLC2A3	SLC2A3	TRUE	NP_008862.1	NP_008862.1
SLC2A5	SLC2A5	SLC2A5	TRUE	NP_001315548.1	NP_001315548.1
SLC2A6	SLC2A6	SLC2A6	TRUE	NP_001138571.1	NP_001138571.1
SLC2A8	SLC2A8	SLC2A8	TRUE	NA	NP_001258640.1
SLC30A1	SLC30A1	SLC30A1	TRUE	NP_067017.2	NP_067017.2
SLC30A3	SLC30A3	SLC30A3	TRUE	NP_003450.2	NP_003450.2
SLC30A5	SLC30A5	SLC30A5	TRUE	NP_075053.2	NP_075053.2
SLC30A6	SLC30A6	SLC30A6	TRUE	NP_001180442.1	NP_001180442.1
SLC30A7	SLC30A7	SLC30A7	TRUE	NP_001138356.1	NP_001138356.1
SLC30A9	SLC30A9	SLC30A9	TRUE	NP_006336.3	NP_006336.3
SLC31A1	SLC31A1	SLC31A1	TRUE	NP_001850.1	NP_001850.1
SLC32A1	SLC32A1	SLC32A1	TRUE	NP_542119.1	NP_542119.1
SLC33A1	SLC33A1	SLC33A1	TRUE	NP_001177921.1	NP_001177921.1
SLC34A3	SLC34A3	SLC34A3	TRUE	NA	NP_001170787.1
SLC35A2	SLC35A2	SLC35A2	TRUE	NP_001035963.1	NP_001035963.1
SLC35A5	SLC35A5	SLC35A5	TRUE	NA	NP_001335834.1
SLC35B2	SLC35B2	SLC35B2	TRUE	NP_001273438.1	NP_001273440.1
SLC35E1	SLC35E1	SLC35E1	TRUE	NP_079157.3	NP_079157.3
SLC35E3	SLC35E3	SLC35E3	TRUE	NA	NP_001341926.1
SLC35F1	SLC35F1	SLC35F1	TRUE	NP_001025029.2	NP_001025029.2
SLC35F2	SLC35F2	SLC35F2	TRUE	NA	NP_059985.2
SLC35F6	SLC35F6	SLC35F6	TRUE	NP_060347.2	NP_060347.2
SLC35G2	SLC35G2	SLC35G2	TRUE	NA	NP_001091068.1
SLC37A3	SLC37A3	SLC37A3	TRUE	NP_001274427.1	NP_001274427.1
SLC37A4	SLC37A4	SLC37A4	TRUE	NP_001157749.1	NP_001157749.1
SLC38A1	SLC38A1	SLC38A1	TRUE	NP_001070952.1	NP_001070952.1
SLC38A10	SLC38A10	SLC38A10	TRUE	NP_001033073.1	NP_001033073.1
SLC38A2	SLC38A2	SLC38A2	TRUE	NP_061849.2	NP_061849.2
SLC38A3	SLC38A3	SLC38A3	TRUE	NP_006832.1	NP_006832.1
SLC38A5	SLC38A5	SLC38A5	TRUE	NP_277053.2	NP_277053.2
SLC38A9	SLC38A9	SLC38A9	TRUE	NP_001336311.1	NP_001336311.1
SLC39A1	SLC39A1	SLC39A1	TRUE	NP_001258886.1	NP_001258886.1
SLC39A10	SLC39A10	SLC39A10	TRUE	NP_001120729.1	NP_001120729.1
SLC39A11	SLC39A11	SLC39A11	TRUE	NP_001153242.1	NP_001153242.1
SLC39A12	SLC39A12	SLC39A12	TRUE	NP_001138667.1	NP_001138667.1
SLC39A14	SLC39A14	SLC39A14	TRUE	NP_001128626.1	NP_001128626.1
SLC39A6	SLC39A6	SLC39A6	TRUE	NP_036451.3	NP_036451.3
SLC39A7	SLC39A7	SLC39A7	TRUE	NP_001070984.1	NP_001070984.1
SLC39A9	SLC39A9	SLC39A9	TRUE	NA	NP_001239077.1
SLC3A2	SLC3A2	SLC3A2	TRUE	NP_001012680.1	NP_001012680.1;NP_001012682.1;NP_002385.3
SLC41A3	SLC41A3	SLC41A3	TRUE	NP_060306.3	NP_060306.3
SLC43A2	SLC43A2	SLC43A2	TRUE	NP_001271427.1	NP_001271427.1
SLC43A3	SLC43A3	SLC43A3	TRUE	NP_001265130.1	NP_001265130.1
SLC44A1	SLC44A1	SLC44A1	TRUE	NP_536856.2	NP_536856.2
SLC44A2	SLC44A2	SLC44A2	TRUE	NP_001350540.1	NP_065161.3;NP_001350540.1;NP_001138528.1
SLC44A3	SLC44A3	SLC44A3	TRUE	NP_001107578.1	NP_001107578.1
SLC45A1	SLC45A1	SLC45A1	TRUE	NP_001073866.2	NP_001073866.2
SLC4A1	SLC4A1	SLC4A1	TRUE	NP_000333.1	NP_000333.1
SLC4A10	SLC4A10	SLC4A10	TRUE	NP_001171486.1	NP_001171486.1;NP_001341375.1;NP_001341378.1
SLC4A1AP	SLC4A1AP	SLC4A1AP	TRUE	NP_060628.2	NP_060628.2
SLC4A2	SLC4A2	SLC4A2	TRUE	NP_001186621.1	NP_001186621.1
SLC4A3	SLC4A3	SLC4A3	TRUE	NP_005061.2	NP_005061.2
SLC4A4	SLC4A4	SLC4A4	TRUE	NP_001091954.1;NP_001128214.1	NP_001091954.1;NP_001128214.1
SLC4A7	SLC4A7	SLC4A7	TRUE	NP_001245308.1	NP_001308036.1;NP_001245308.1
SLC4A8	SLC4A8	SLC4A8	TRUE	NP_001035049.1	NP_001035049.1
SLC52A2	SLC52A2	SLC52A2	TRUE	NP_001240744.1	NP_001240744.1
SLC5A3	SLC5A3	SLC5A3	TRUE	NP_008864.4	NP_008864.4
SLC5A6	SLC5A6	SLC5A6	TRUE	NP_066918.2	NP_066918.2
SLC6A1	SLC6A1	SLC6A1	TRUE	NP_001335179.1	NP_001335179.1
SLC6A11	SLC6A11	SLC6A11	TRUE	NP_055044.1	NP_055044.1
SLC6A12	SLC6A12	SLC6A12	TRUE	NP_001116319.1	NP_001116319.1
SLC6A17	SLC6A17	SLC6A17	TRUE	NP_001010898.1	NP_001010898.1
SLC6A7	SLC6A7	SLC6A7	TRUE	NP_055043.2	NP_055043.2
SLC6A9	SLC6A9	SLC6A9	TRUE	NP_001020016.1	NP_001020016.1
SLC7A1	SLC7A1	SLC7A1	TRUE	NP_003036.1	NP_003036.1
SLC7A10	SLC7A10	SLC7A10	TRUE	NP_062823.1	NP_062823.1
SLC7A11	SLC7A11	SLC7A11	TRUE	NP_055146.1	NP_055146.1
SLC7A14	SLC7A14	SLC7A14	TRUE	NP_066000.2	NP_066000.2
SLC7A3	SLC7A3	SLC7A3	TRUE	NP_001041629.1	NP_001041629.1
SLC7A5	SLC7A5	SLC7A5	TRUE	NP_003477.4	NP_003477.4
SLC7A6	SLC7A6	SLC7A6	TRUE	NA	NP_001070253.1
