ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
COMP	COMP	COMP	TRUE	NP_000086.2	NP_000086.2
COMT	COMT	COMT	TRUE	NP_000745.1	NP_000745.1
COMTD1	COMTD1	COMTD1	TRUE	NP_653190.2	NP_653190.2
COP1	COP1	COP1	TRUE	NP_071902.2	NP_071902.2
COPA	COPA	COPA	TRUE	NP_004362.2	NP_004362.2
COPB1	COPB1	COPB1	TRUE	NP_001137533.1	NP_001137533.1
COPB2	COPB2	COPB2	TRUE	NP_004757.1	NP_004757.1
COPE	COPE	COPE	TRUE	NP_009194.2	NP_009194.2
COPG1	COPG1	COPG1	TRUE	NP_057212.1	NP_057212.1
COPG2	COPG2	COPG2	TRUE	NP_036265.3	NP_036265.3
COPRS	COPRS	COPRS	TRUE	NP_060875.2	NP_060875.2
COPS2	COPS2	COPS2	TRUE	NP_004227.1	NP_004227.1
COPS3	COPS3	COPS3	TRUE	NP_003644.2	NP_003644.2
COPS4	COPS4	COPS4	TRUE	NP_057213.2	NP_057213.2
COPS5	COPS5	COPS5	TRUE	NP_006828.2	NP_006828.2
COPS6	COPS6	COPS6	TRUE	NP_006824.2	NP_006824.2
COPS7A	COPS7A	COPS7A	TRUE	NP_001157565.1	NP_001157565.1
COPS7B	COPS7B	COPS7B	TRUE	NP_073567.1	NP_073567.1
COPS8	COPS8	COPS8	TRUE	NP_006701.1	NP_006701.1
COPS9	COPS9	COPS9	TRUE	NP_001156896.1	NP_001156896.1;NP_612209.1
COPZ1	COPZ1	COPZ1	TRUE	NP_057141.1	NP_057141.1
COPZ2	COPZ2	COPZ2	TRUE	NP_057513.1	NP_057513.1
COQ10A	COQ10A	COQ10A	TRUE	NP_001092807.1	NP_001092807.1
COQ10B	COQ10B	COQ10B	TRUE	NP_001307748.1	NP_001307748.1
COQ3	COQ3	COQ3	TRUE	NP_059117.3	NP_059117.3
COQ5	COQ5	COQ5	TRUE	NP_115690.3	NP_115690.3
COQ6	COQ6	COQ6	TRUE	NP_872286.2	NP_872282.1
COQ7	COQ7	COQ7	TRUE	NP_057222.2	NP_057222.2
COQ8A	COQ8A	COQ8A	TRUE	NP_064632.2	NP_064632.2
COQ8B	COQ8B	COQ8B	TRUE	NP_079152.3	NP_079152.3
COQ9	COQ9	COQ9	TRUE	NP_064708.1	NP_064708.1
CORO1A	CORO1A	CORO1A	TRUE	NP_001180262.1	NP_001180262.1
CORO1B	CORO1B	CORO1B	TRUE	NP_001018080.1	NP_001018080.1
CORO1C	CORO1C	CORO1C	TRUE	NP_001098707.1	NP_001098707.1
CORO2A	CORO2A	CORO2A	TRUE	NP_003380.3	NP_003380.3
CORO2B	CORO2B	CORO2B	TRUE	NP_001177385.1	NP_001177385.1
CORO6	CORO6	CORO6	TRUE	NP_116243.2	NP_116243.2
CORO7	CORO7	CORO7	TRUE	NP_001188401.1	NP_001188401.1
COTL1	COTL1	COTL1	TRUE	NP_066972.1	NP_066972.1
COX11	COX11	COX11	TRUE	NP_004366.1	NP_004366.1
COX14	COX14	COX14	TRUE	NA	NP_001244062.1
COX15	COX15	COX15	TRUE	NP_001307903.1	NP_001307903.1
COX17	COX17	COX17	TRUE	NP_005685.1	NP_005685.1
COX18	COX18	COX18	TRUE	NP_001284661.1	NP_001284661.1
COX19	COX19	COX19	TRUE	NP_001026788.1	NP_001026788.1
COX20	COX20	COX20	TRUE	NP_001299800.1	NP_001299800.1
COX4I1	COX4I1	COX4I1	TRUE	NP_001305715.1	NP_001305715.1
COX5A	COX5A	COX5A	TRUE	NP_004246.2	NP_004246.2
COX5B	COX5B	COX5B	TRUE	NP_001853.2	NP_001853.2
COX6A1	COX6A1	COX6A1	TRUE	NP_004364.2	NP_004364.2
COX6B1	COX6B1	COX6B1	TRUE	NP_001854.1	NP_001854.1
COX6C	COX6C	COX6C	TRUE	NP_004365.1	NP_004365.1
COX7A1	COX7A1	COX7A1	TRUE	NP_001855.1	NP_001855.1
COX7A2	COX7A2	COX7A2	TRUE	NP_001856.2	NP_001856.2
COX7A2L	COX7A2L	COX7A2L	TRUE	NP_001305965.1	NP_001305965.1
COX7B	COX7B	COX7B	TRUE	NP_001857.1	NP_001857.1
COX7C	COX7C	COX7C	TRUE	NP_001858.1	NP_001858.1
COX8A	COX8A	COX8A	TRUE	NP_004065.1	NP_004065.1
CP	CP	CP	TRUE	NP_000087.1	NP_000087.1
CPB2	CPB2	CPB2	TRUE	NP_001265470.1	NP_001265470.1
CPD	CPD	CPD	TRUE	NP_001295.2	NP_001295.2
CPE	CPE	CPE	TRUE	NP_001864.1	NP_001864.1
CPEB2	CPEB2	CPEB2	TRUE	NP_001170854.1	NP_001170853.1;NP_001170854.1
CPEB3	CPEB3	CPEB3	TRUE	NP_001171608.1	NP_001171608.1
CPEB4	CPEB4	CPEB4	TRUE	NP_001295118.1	NP_001295118.1
CPLX1	CPLX1	CPLX1	TRUE	NP_006642.1	NP_006642.1
CPLX2	CPLX2	CPLX2	TRUE	NP_001008221.1	NP_001008221.1
CPLX3	CPLX3	CPLX3	TRUE	NP_001025176.1	NP_001025176.1
CPM	CPM	CPM	TRUE	NP_001005502.1	NP_001005502.1
CPN1	CPN1	CPN1	TRUE	NP_001299.1	NP_001299.1
CPN2	CPN2	CPN2	TRUE	NP_001073982.3	NP_001073982.3
CPNE1	CPNE1	CPNE1	TRUE	NP_690902.1	NP_690902.1
CPNE2	CPNE2	CPNE2	TRUE	NP_689940.3	NP_689940.3
CPNE3	CPNE3	CPNE3	TRUE	NP_003900.1	NP_003900.1
CPNE4	CPNE4	CPNE4	TRUE	NP_001276041.1	NP_001276041.1
